grade,lat,long
B,40.87283392,-73.90509788
C,40.71814005,-73.98840207
C,40.76748478,-73.73861916
B,40.79828609,-73.94086392
C,40.81900977,-73.9372867
C,40.72784208,-73.89213245
C,40.75014536,-73.88037355
C,40.71528313,-73.99314976
C,40.82120762,-73.86596651
B,40.68426166,-73.99211815
B,40.69456686,-73.91089167
B,40.87873991,-73.90429747
B,40.75923496,-73.99202622
B,40.63762242,-74.00735027
B,40.63765261,-74.00731785
C,40.76339261,-73.77085742
C,40.7544181,-73.82788125
B,40.6871111,-73.97536906
C,40.77802689,-73.98028918
C,40.77437085,-73.95930964
C,40.65347207,-73.9594233
C,40.79815143,-73.94054621
B,40.69035666,-73.96021571
B,40.610245,-73.98358395
C,40.76033055,-73.82987293
B,40.62551889,-73.93996208
C,40.70458112,-73.92418699
C,40.75450814,-73.98807086
C,40.68703331,-73.8220739
C,40.74824093,-73.87817905
C,40.8384707,-73.91310149
B,40.63417194,-74.01091315
C,40.69594941,-73.90984761
C,40.8024133,-73.95060189
C,40.72081813,-73.90441328
B,40.82073841,-73.84841896
C,40.7384367,-73.88626938
B,40.73512345,-73.97964881
C,40.7484265,-73.93876816
B,40.81258241,-73.88788345
B,40.86546621,-73.86569981
B,40.79943878,-73.9683781
B,40.74221718,-73.87402921
B,40.65073804,-73.95879071
B,40.63468634,-73.97786729
C,40.74384458,-73.8552096
C,40.70872417,-73.9587944
B,40.87298133,-73.88888406
B,40.73149923,-74.00666068
C,40.77437085,-73.95930964
B,40.68942729,-73.99161992
B,40.73028881,-73.99380849
B,40.71398195,-73.99083045
B,40.74762013,-73.88298745
B,40.69329854,-73.96725305
C,40.61806607,-73.99931202
C,40.72445631,-74.00296199
B,40.72276105,-73.97980412
C,40.74654592,-73.99176068
B,40.70001883,-73.91198794
B,40.6007849,-74.00061578
B,40.76488941,-73.812147
C,40.73384018,-73.87157703
B,40.67900555,-74.00558464
B,40.74083436,-73.87964695
C,40.84049443,-73.91800318
C,40.85822007,-73.90400175
B,40.66734718,-73.87082961
C,40.7131914,-73.73547099
B,40.69177144,-73.76191636
B,40.73009131,-74.00321481
C,40.79710143,-73.93770832
B,40.72230994,-73.99939752
C,40.76002356,-73.82831432
B,40.62679307,-73.946712
C,40.71080594,-73.79272452
C,40.75065638,-73.87567343
C,40.71713879,-73.99879513
C,40.77437085,-73.95930964
B,40.70778469,-73.80248338
B,40.73035203,-74.00423953
C,40.69903256,-73.91443078
B,40.73057443,-74.00045102
B,40.85877162,-73.88583505
B,40.727315,-73.85474776
C,40.75590782,-73.98668095
B,40.86565122,-73.8597375
B,40.74186904,-74.00471301
C,40.70504584,-73.91746712
B,40.62879472,-73.92794446
B,40.75568042,-73.99092936
C,40.7534321,-73.98715067
C,40.75431919,-73.92037277
C,40.7321856,-74.0015371
B,40.79574817,-73.94858071
B,40.63509234,-74.02331101
B,40.70729054,-73.83545879
C,40.73846819,-73.99352987
C,40.71881857,-74.00235929
B,40.80420489,-73.95550943
B,40.80749928,-73.91343829
B,40.74047874,-73.98115559
B,40.7443254,-73.99177539
B,40.8712765,-73.84782964
C,40.76303038,-73.98595755
C,40.84071112,-73.92172545
C,40.6438603,-74.07290066
B,40.63671626,-74.01185035
B,40.70636828,-74.00328941
B,40.78413622,-73.97758631
B,40.75093894,-73.87302373
C,40.75733716,-73.86831181
B,40.68479883,-73.83099663
B,40.7496663,-73.97186661
B,40.69945598,-73.9117723
B,40.61789821,-74.00993793
C,40.75407628,-73.96860185
C,40.71724582,-73.99747843
C,40.61634757,-74.10367054
C,40.75881797,-73.76856664
C,40.74633999,-73.89612278
B,40.78119856,-73.94930333
B,40.88444413,-73.83285597
B,40.64078874,-73.96921386
C,40.72814391,-73.98201779
B,40.84347249,-73.83597362
B,40.80910295,-73.95937141
B,40.71811592,-73.99780307
B,40.60848213,-73.95888532
B,40.7303948,-73.98324033
C,40.74595907,-73.89988752
B,40.74297406,-73.98327324
B,40.79734217,-73.96980213
B,40.81169643,-73.90364284
C,40.66353385,-73.95092501
C,40.77870301,-73.94802342
C,40.75109663,-73.97313646
C,40.76399471,-73.80887892
B,40.73738939,-74.00820571
